id,HoraFecha,h2
1,23:16:59 28/3/2022,78
2,23:24:51 28/3/2022,75
3,23:31:34 28/3/2022,74
4,23:38:13 28/3/2022,76
5,23:44:55 28/3/2022,76
6,23:51:35 28/3/2022,77
7,23:58:18 28/3/2022,74
8,00:05:02 29/3/2022,76
9,00:11:43 29/3/2022,74
10,00:18:28 29/3/2022,74
11,00:25:09 29/3/2022,74
12,00:31:52 29/3/2022,78
13,00:38:31 29/3/2022,55
14,00:45:10 29/3/2022,74
15,00:51:50 29/3/2022,76
16,00:58:29 29/3/2022,77
17,01:05:10 29/3/2022,76
18,01:11:51 29/3/2022,76
19,01:18:30 29/3/2022,76
20,01:25:06 29/3/2022,78
21,01:31:46 29/3/2022,76
22,01:38:26 29/3/2022,75
23,01:45:05 29/3/2022,78
24,01:51:43 29/3/2022,77
25,01:58:22 29/3/2022,76
26,02:04:59 29/3/2022,74
27,02:11:38 29/3/2022,77
28,02:18:18 29/3/2022,76
29,02:24:59 29/3/2022,76
30,02:31:45 29/3/2022,76
31,02:38:36 29/3/2022,77
32,02:45:22 29/3/2022,78
33,02:52:07 29/3/2022,74
34,02:58:51 29/3/2022,76
35,03:05:31 29/3/2022,77
36,03:12:12 29/3/2022,74
37,03:18:53 29/3/2022,74
38,03:25:40 29/3/2022,77
39,03:32:27 29/3/2022,78
40,03:39:11 29/3/2022,77
41,03:44:17 29/3/2022,75
42,03:52:42 29/3/2022,74
43,03:59:22 29/3/2022,74
44,04:06:03 29/3/2022,76
45,04:12:47 29/3/2022,76
46,04:19:29 29/3/2022,76
47,04:26:12 29/3/2022,78
48,04:31:18 29/3/2022,76
49,04:39:40 29/3/2022,76
50,04:46:22 29/3/2022,76
51,04:53:05 29/3/2022,78
52,04:59:46 29/3/2022,77
53,05:06:25 29/3/2022,76
54,05:13:04 29/3/2022,74
55,05:19:40 29/3/2022,75
56,05:26:18 29/3/2022,78
57,05:32:55 29/3/2022,77
58,05:39:36 29/3/2022,77
59,05:46:19 29/3/2022,76
60,05:53:01 29/3/2022,75
61,05:59:44 29/3/2022,78
62,06:06:34 29/3/2022,77
63,06:13:16 29/3/2022,76
64,06:19:58 29/3/2022,78
65,06:26:41 29/3/2022,78
66,06:33:27 29/3/2022,76
67,06:40:14 29/3/2022,75
68,06:46:55 29/3/2022,75
69,06:53:35 29/3/2022,76
70,07:00:13 29/3/2022,78
71,07:06:54 29/3/2022,74
72,07:13:39 29/3/2022,74
73,07:20:23 29/3/2022,76
74,07:27:10 29/3/2022,78
75,07:34:06 29/3/2022,78
76,07:41:06 29/3/2022,74
77,07:47:45 29/3/2022,75
78,07:54:29 29/3/2022,76
79,07:59:31 29/3/2022,76
80,08:07:50 29/3/2022,77
81,08:14:33 29/3/2022,77
82,08:21:14 29/3/2022,74
83,08:27:56 29/3/2022,77
84,08:34:36 29/3/2022,76
85,08:41:19 29/3/2022,77
86,08:48:01 29/3/2022,74
87,08:54:42 29/3/2022,76
88,09:01:21 29/3/2022,76
89,09:08:00 29/3/2022,76
90,09:14:43 29/3/2022,74
91,09:21:25 29/3/2022,79
92,09:28:08 29/3/2022,74
93,09:34:53 29/3/2022,77
94,09:41:40 29/3/2022,75
95,09:48:29 29/3/2022,75
96,09:55:16 29/3/2022,76
97,10:01:59 29/3/2022,79
98,10:08:41 29/3/2022,75
99,10:15:31 29/3/2022,76
100,10:22:18 29/3/2022,75
101,10:29:05 29/3/2022,77
102,10:35:50 29/3/2022,78
103,10:42:37 29/3/2022,78
104,10:49:26 29/3/2022,76
105,10:56:08 29/3/2022,77
106,11:02:49 29/3/2022,78
107,11:09:41 29/3/2022,75
108,11:16:31 29/3/2022,75
109,11:23:17 29/3/2022,77
110,11:30:03 29/3/2022,76
111,11:37:01 29/3/2022,75
112,11:43:57 29/3/2022,78
113,11:51:04 29/3/2022,78
114,11:58:04 29/3/2022,74
115,12:05:01 29/3/2022,76
116,12:11:53 29/3/2022,78
117,12:18:36 29/3/2022,76
118,12:25:19 29/3/2022,77
119,12:32:05 29/3/2022,76
120,12:38:48 29/3/2022,76
121,12:45:38 29/3/2022,76
122,12:52:20 29/3/2022,77
123,12:58:59 29/3/2022,76
124,13:05:42 29/3/2022,76
125,13:12:26 29/3/2022,78
126,13:19:07 29/3/2022,75
127,13:25:56 29/3/2022,78
128,13:32:35 29/3/2022,75
129,13:39:21 29/3/2022,76
130,13:46:00 29/3/2022,76
131,13:52:43 29/3/2022,76
132,13:59:23 29/3/2022,78
133,14:06:15 29/3/2022,78
134,14:12:55 29/3/2022,76
135,14:19:33 29/3/2022,0
136,14:29:19 29/3/2022,0
137,14:33:58 29/3/2022,0
138,14:40:37 29/3/2022,0
139,14:47:14 29/3/2022,0
140,14:53:52 29/3/2022,1
141,15:00:29 29/3/2022,0
142,15:07:07 29/3/2022,0
143,15:13:46 29/3/2022,0
144,15:20:23 29/3/2022,0
145,15:27:00 29/3/2022,1
146,15:33:38 29/3/2022,1
147,15:40:17 29/3/2022,0
148,15:46:56 29/3/2022,0
149,15:53:33 29/3/2022,1
150,16:00:12 29/3/2022,1
151,16:06:50 29/3/2022,0
152,16:13:29 29/3/2022,0
153,16:20:06 29/3/2022,1
154,16:26:45 29/3/2022,0
155,16:33:23 29/3/2022,0
156,16:40:02 29/3/2022,0
157,16:46:40 29/3/2022,0
158,16:53:18 29/3/2022,0
159,16:59:55 29/3/2022,0
160,17:06:33 29/3/2022,0
161,22:12:02 30/3/2022,74
162,22:18:40 30/3/2022,75
163,22:25:18 30/3/2022,75
164,22:31:55 30/3/2022,75
165,22:38:35 30/3/2022,73
166,22:45:15 30/3/2022,74
167,22:51:54 30/3/2022,73
168,22:58:34 30/3/2022,75
169,23:05:11 30/3/2022,75
170,23:11:54 30/3/2022,75
171,23:18:34 30/3/2022,74
172,23:25:14 30/3/2022,74
173,23:31:53 30/3/2022,74
174,23:38:34 30/3/2022,74
175,23:45:12 30/3/2022,74
176,23:51:51 30/3/2022,74
177,23:58:31 30/3/2022,75
178,00:05:08 31/3/2022,74
179,00:11:49 31/3/2022,74
180,00:18:27 31/3/2022,75
181,00:25:05 31/3/2022,73
182,00:31:43 31/3/2022,74
183,00:38:23 31/3/2022,74
184,00:45:02 31/3/2022,73
