id,HoraFecha,t
1,23:16:09 28/3/2022,27
2,23:24:02 28/3/2022,27
3,23:30:44 28/3/2022,27
4,23:37:23 28/3/2022,27
5,23:44:04 28/3/2022,27
6,23:50:45 28/3/2022,27
7,23:57:28 28/3/2022,27
8,00:04:12 29/3/2022,27
9,00:10:52 29/3/2022,27
10,00:17:34 29/3/2022,27
11,00:24:19 29/3/2022,27
12,00:31:03 29/3/2022,27
13,00:37:41 29/3/2022,27
14,00:44:20 29/3/2022,27
15,00:51:00 29/3/2022,27
16,00:57:40 29/3/2022,27
17,01:04:20 29/3/2022,27
18,01:11:01 29/3/2022,27
19,01:17:40 29/3/2022,27
20,01:24:17 29/3/2022,27
21,01:30:54 29/3/2022,27
22,01:37:36 29/3/2022,27
23,01:44:15 29/3/2022,27
24,01:50:53 29/3/2022,27
25,01:57:31 29/3/2022,27
26,02:04:10 29/3/2022,27
27,02:10:49 29/3/2022,27
28,02:17:29 29/3/2022,27
29,02:24:08 29/3/2022,27
30,02:30:53 29/3/2022,27
31,02:37:44 29/3/2022,27
32,02:44:31 29/3/2022,27
33,02:51:17 29/3/2022,27
34,02:57:59 29/3/2022,27
35,03:04:41 29/3/2022,27
36,03:11:21 29/3/2022,27
37,03:18:04 29/3/2022,27
38,03:24:49 29/3/2022,27
39,03:31:36 29/3/2022,27
40,03:38:21 29/3/2022,27
41,03:43:26 29/3/2022,27
42,03:51:52 29/3/2022,27
43,03:58:32 29/3/2022,27
44,04:05:13 29/3/2022,27
45,04:11:56 29/3/2022,27
46,04:18:38 29/3/2022,27
47,04:25:23 29/3/2022,27
48,04:30:26 29/3/2022,27
49,04:38:50 29/3/2022,27
50,04:45:31 29/3/2022,27
51,04:52:14 29/3/2022,27
52,04:58:56 29/3/2022,27
53,05:05:36 29/3/2022,27
54,05:12:14 29/3/2022,27
55,05:18:51 29/3/2022,27
56,05:25:28 29/3/2022,27
57,05:32:05 29/3/2022,27
58,05:38:46 29/3/2022,27
59,05:45:29 29/3/2022,27
60,05:52:09 29/3/2022,27
61,05:58:53 29/3/2022,27
62,06:05:44 29/3/2022,27
63,06:12:26 29/3/2022,27
64,06:19:07 29/3/2022,27
65,06:25:51 29/3/2022,27
66,06:32:37 29/3/2022,27
67,06:39:22 29/3/2022,27
68,06:46:05 29/3/2022,27
69,06:52:45 29/3/2022,27
70,06:59:23 29/3/2022,26
71,07:06:03 29/3/2022,27
72,07:12:49 29/3/2022,27
73,07:19:33 29/3/2022,27
74,07:26:19 29/3/2022,27
75,07:33:14 29/3/2022,27
76,07:40:15 29/3/2022,27
77,07:46:55 29/3/2022,27
78,07:53:40 29/3/2022,26
79,07:58:41 29/3/2022,26
80,08:07:00 29/3/2022,26
81,08:13:43 29/3/2022,26
82,08:20:23 29/3/2022,26
83,08:27:06 29/3/2022,26
84,08:33:46 29/3/2022,26
85,08:40:29 29/3/2022,27
86,08:47:12 29/3/2022,27
87,08:53:53 29/3/2022,27
88,09:00:32 29/3/2022,27
89,09:07:09 29/3/2022,27
90,09:13:53 29/3/2022,27
91,09:20:35 29/3/2022,27
92,09:27:18 29/3/2022,27
93,09:34:02 29/3/2022,27
94,09:40:50 29/3/2022,27
95,09:47:37 29/3/2022,27
96,09:54:26 29/3/2022,27
97,10:01:08 29/3/2022,27
98,10:07:52 29/3/2022,27
99,10:14:39 29/3/2022,27
100,10:21:27 29/3/2022,27
101,10:28:14 29/3/2022,27
102,10:35:00 29/3/2022,27
103,10:41:48 29/3/2022,27
104,10:48:34 29/3/2022,27
105,10:55:18 29/3/2022,27
106,11:01:59 29/3/2022,27
107,11:08:49 29/3/2022,27
108,11:15:41 29/3/2022,27
109,11:22:25 29/3/2022,27
110,11:29:12 29/3/2022,28
111,11:36:11 29/3/2022,28
112,11:43:04 29/3/2022,28
113,11:50:13 29/3/2022,28
114,11:57:11 29/3/2022,28
115,12:04:09 29/3/2022,28
116,12:11:00 29/3/2022,28
117,12:17:45 29/3/2022,28
118,12:24:28 29/3/2022,28
119,12:31:16 29/3/2022,28
120,12:37:58 29/3/2022,28
121,12:44:40 29/3/2022,28
122,12:51:30 29/3/2022,28
123,12:58:09 29/3/2022,28
124,13:04:52 29/3/2022,28
125,13:11:36 29/3/2022,28
126,13:18:17 29/3/2022,28
127,13:25:02 29/3/2022,28
128,13:31:46 29/3/2022,28
129,13:38:32 29/3/2022,28
130,13:45:10 29/3/2022,28
131,13:51:53 29/3/2022,28
132,13:58:33 29/3/2022,28
133,14:05:22 29/3/2022,28
134,14:12:05 29/3/2022,28
135,14:18:43 29/3/2022,28
136,14:28:29 29/3/2022,28
137,14:33:09 29/3/2022,28
138,14:39:46 29/3/2022,28
