id,HoraFecha,h
1,23:16:34 28/3/2022,95
2,23:24:26 28/3/2022,95
3,23:31:08 28/3/2022,95
4,23:37:48 28/3/2022,95
5,23:44:30 28/3/2022,95
6,23:51:10 28/3/2022,95
7,23:57:53 28/3/2022,95
8,00:04:37 29/3/2022,95
9,00:11:18 29/3/2022,95
10,00:18:03 29/3/2022,95
11,00:24:44 29/3/2022,95
12,00:31:27 29/3/2022,95
13,00:38:06 29/3/2022,95
14,00:44:45 29/3/2022,95
15,00:51:25 29/3/2022,95
16,00:58:05 29/3/2022,95
17,01:04:45 29/3/2022,95
18,01:11:26 29/3/2022,95
19,01:18:05 29/3/2022,95
20,01:24:41 29/3/2022,95
21,01:31:20 29/3/2022,95
22,01:38:01 29/3/2022,95
23,01:44:40 29/3/2022,95
24,01:51:18 29/3/2022,95
25,01:57:57 29/3/2022,95
26,02:04:34 29/3/2022,95
27,02:11:13 29/3/2022,95
28,02:17:54 29/3/2022,95
29,02:24:33 29/3/2022,95
30,02:31:18 29/3/2022,95
31,02:38:11 29/3/2022,95
32,02:44:56 29/3/2022,95
33,02:51:42 29/3/2022,95
34,02:58:26 29/3/2022,95
35,03:05:06 29/3/2022,95
36,03:11:47 29/3/2022,95
37,03:18:28 29/3/2022,95
38,03:25:15 29/3/2022,95
39,03:32:01 29/3/2022,95
40,03:38:46 29/3/2022,95
41,03:43:52 29/3/2022,95
42,03:52:17 29/3/2022,95
43,03:58:57 29/3/2022,95
44,04:05:38 29/3/2022,95
45,04:12:21 29/3/2022,95
46,04:19:04 29/3/2022,95
47,04:25:47 29/3/2022,95
48,04:30:52 29/3/2022,95
49,04:39:15 29/3/2022,95
50,04:45:57 29/3/2022,95
51,04:52:41 29/3/2022,95
52,04:59:21 29/3/2022,95
53,05:06:01 29/3/2022,95
54,05:12:39 29/3/2022,95
55,05:19:15 29/3/2022,95
56,05:25:53 29/3/2022,95
57,05:32:30 29/3/2022,95
58,05:39:11 29/3/2022,95
59,05:45:54 29/3/2022,95
60,05:52:36 29/3/2022,95
61,05:59:19 29/3/2022,95
62,06:06:09 29/3/2022,95
63,06:12:51 29/3/2022,95
64,06:19:33 29/3/2022,95
65,06:26:16 29/3/2022,95
66,06:33:02 29/3/2022,95
67,06:39:49 29/3/2022,95
68,06:46:30 29/3/2022,95
69,06:53:10 29/3/2022,95
70,06:59:48 29/3/2022,95
71,07:06:29 29/3/2022,95
72,07:13:14 29/3/2022,95
73,07:19:58 29/3/2022,95
74,07:26:44 29/3/2022,95
75,07:33:41 29/3/2022,95
76,07:40:40 29/3/2022,95
77,07:47:20 29/3/2022,95
78,07:54:05 29/3/2022,95
79,07:59:06 29/3/2022,95
80,08:07:25 29/3/2022,95
81,08:14:07 29/3/2022,95
82,08:20:49 29/3/2022,95
83,08:27:31 29/3/2022,95
84,08:34:11 29/3/2022,95
85,08:40:54 29/3/2022,95
86,08:47:37 29/3/2022,95
87,08:54:18 29/3/2022,95
88,09:00:56 29/3/2022,95
89,09:07:35 29/3/2022,95
90,09:14:18 29/3/2022,95
