id,HoraFecha,h2
1,23:17:24 28/3/2022,21
2,23:25:16 28/3/2022,21
3,23:31:58 28/3/2022,21
4,23:38:38 28/3/2022,22
5,23:45:20 28/3/2022,22
6,23:52:00 28/3/2022,23
7,23:58:43 28/3/2022,24
8,00:05:26 29/3/2022,23
9,00:12:08 29/3/2022,23
10,00:18:52 29/3/2022,22
11,00:25:35 29/3/2022,22
12,00:32:17 29/3/2022,20
13,00:38:56 29/3/2022,20
14,00:45:35 29/3/2022,20
15,00:52:15 29/3/2022,19
16,00:58:54 29/3/2022,16
17,01:05:35 29/3/2022,16
18,01:12:15 29/3/2022,16
19,01:18:55 29/3/2022,16
20,01:25:31 29/3/2022,16
21,01:32:11 29/3/2022,16
22,01:38:51 29/3/2022,16
23,01:45:30 29/3/2022,16
24,01:52:08 29/3/2022,16
25,01:58:47 29/3/2022,16
26,02:05:24 29/3/2022,17
27,02:12:03 29/3/2022,16
28,02:18:43 29/3/2022,15
29,02:25:24 29/3/2022,15
30,02:32:09 29/3/2022,15
31,02:39:01 29/3/2022,16
32,02:45:46 29/3/2022,16
33,02:52:32 29/3/2022,16
34,02:59:16 29/3/2022,17
35,03:05:55 29/3/2022,17
36,03:12:37 29/3/2022,17
37,03:19:19 29/3/2022,18
38,03:26:06 29/3/2022,18
39,03:32:52 29/3/2022,18
40,03:39:36 29/3/2022,18
41,03:44:42 29/3/2022,17
42,03:53:07 29/3/2022,18
43,03:59:47 29/3/2022,19
44,04:06:28 29/3/2022,20
45,04:13:12 29/3/2022,20
46,04:19:54 29/3/2022,22
47,04:26:37 29/3/2022,22
48,04:31:43 29/3/2022,23
49,04:40:07 29/3/2022,24
50,04:46:46 29/3/2022,23
51,04:53:30 29/3/2022,25
52,05:00:11 29/3/2022,25
53,05:06:51 29/3/2022,30
54,05:13:28 29/3/2022,30
55,05:20:05 29/3/2022,30
56,05:26:42 29/3/2022,30
57,05:33:21 29/3/2022,34
58,05:40:01 29/3/2022,33
59,05:46:44 29/3/2022,33
60,05:53:25 29/3/2022,33
61,06:00:09 29/3/2022,34
62,06:06:59 29/3/2022,37
63,06:13:40 29/3/2022,36
64,06:20:22 29/3/2022,37
65,06:27:07 29/3/2022,40
66,06:33:52 29/3/2022,40
67,06:40:39 29/3/2022,41
68,06:47:20 29/3/2022,41
69,06:53:59 29/3/2022,40
70,07:00:38 29/3/2022,41
71,07:07:19 29/3/2022,43
72,07:14:04 29/3/2022,43
73,07:20:48 29/3/2022,45
74,07:27:35 29/3/2022,45
75,07:34:34 29/3/2022,46
76,07:41:32 29/3/2022,50
77,07:48:10 29/3/2022,50
78,07:54:54 29/3/2022,52
79,07:59:56 29/3/2022,52
80,08:08:15 29/3/2022,53
81,08:14:58 29/3/2022,55
82,08:21:39 29/3/2022,70
83,08:28:22 29/3/2022,71
84,08:35:01 29/3/2022,71
85,08:41:45 29/3/2022,70
86,08:48:26 29/3/2022,78
87,08:55:07 29/3/2022,80
88,09:01:46 29/3/2022,81
89,09:08:26 29/3/2022,79
90,09:15:08 29/3/2022,79
91,09:21:50 29/3/2022,75
92,09:28:34 29/3/2022,75
93,09:35:19 29/3/2022,74
94,09:42:05 29/3/2022,75
95,09:48:57 29/3/2022,70
96,09:55:41 29/3/2022,69
97,10:02:24 29/3/2022,69
98,10:09:06 29/3/2022,68
99,10:15:56 29/3/2022,65
100,10:22:46 29/3/2022,64
101,10:29:31 29/3/2022,60
102,10:36:15 29/3/2022,59
103,10:43:02 29/3/2022,57
104,10:49:51 29/3/2022,21
105,10:56:33 29/3/2022,20
106,11:03:14 29/3/2022,20
107,11:10:07 29/3/2022,21
108,11:16:56 29/3/2022,22
109,11:23:42 29/3/2022,23
110,11:30:29 29/3/2022,20
111,11:37:26 29/3/2022,19
112,11:44:22 29/3/2022,18
113,11:51:30 29/3/2022,19
114,11:58:29 29/3/2022,20
115,12:05:26 29/3/2022,19
116,12:12:18 29/3/2022,23
117,12:19:00 29/3/2022,23
118,12:25:45 29/3/2022,24
119,12:32:30 29/3/2022,25
120,12:39:13 29/3/2022,24
121,12:46:02 29/3/2022,24
122,12:52:45 29/3/2022,25
123,12:59:24 29/3/2022,27
124,13:06:07 29/3/2022,28
125,13:12:51 29/3/2022,27
126,13:19:32 29/3/2022,28
127,13:26:21 29/3/2022,29
128,13:33:04 29/3/2022,30
129,13:39:46 29/3/2022,31
130,13:46:25 29/3/2022,31
131,13:53:08 29/3/2022,33
132,13:59:48 29/3/2022,35
133,14:06:40 29/3/2022,35
134,14:13:20 29/3/2022,36
135,14:19:58 29/3/2022,35
136,14:29:43 29/3/2022,36
137,14:34:23 29/3/2022,37
138,14:41:02 29/3/2022,37
139,14:47:39 29/3/2022,38
140,14:54:17 29/3/2022,39
141,15:00:54 29/3/2022,43
142,15:07:32 29/3/2022,44
143,15:14:10 29/3/2022,43
144,15:20:48 29/3/2022,45
